Area,Item,Year,hg_ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,rain_pest_interaction,temp_rain_interaction,Crop_Type_Code,Country_Code
Albania,Wheat,1990,30197,1485.0,121.0,16.37,179685.0,24309.45,8,0
Albania,Wheat,1991,20698,1485.0,121.0,15.36,179685.0,22809.6,8,0
Albania,Wheat,1992,24388,1485.0,121.0,16.06,179685.0,23849.1,8,0
Albania,Wheat,1993,29976,1485.0,121.0,16.05,179685.0,23834.25,8,0
Albania,Wheat,1994,24745,1485.0,201.0,16.96,298485.0,25185.600000000002,8,0
Albania,Wheat,1995,28703,1485.0,251.0,15.67,372735.0,23269.95,8,0
Albania,Wheat,1996,21741,1485.0,313.96,15.64,466230.6,23225.4,8,0
Albania,Wheat,1997,28516,1485.0,376.93,15.9,559741.05,23611.5,8,0
Albania,Wheat,1998,28037,1485.0,439.89,16.27,653236.65,24160.95,8,0
Albania,Wheat,1999,24954,1485.0,502.86,16.57,746747.1,24606.45,8,0
Albania,Wheat,2000,30455,1485.0,565.82,16.67,840242.7000000001,24754.95,8,0
Albania,Wheat,2001,28220,1485.0,628.79,16.59,933753.1499999999,24636.15,8,0
Albania,Wheat,2002,31617,1485.0,691.75,16.47,1027248.75,24457.949999999997,8,0
Albania,Wheat,2004,31130,1485.0,817.68,16.16,1214254.7999999998,23997.6,8,0
Albania,Wheat,2005,31582,1485.0,880.64,15.67,1307750.4,23269.95,8,0
Albania,Wheat,2006,30787,1485.0,943.61,15.92,1401260.85,23641.2,8,0
Albania,Wheat,2007,35496,1485.0,1006.57,16.67,1494756.4500000002,24754.95,8,0
Albania,Wheat,2008,40168,1485.0,1069.54,16.71,1588266.9,24814.350000000002,8,0
Albania,Wheat,2009,40229,1485.0,1132.5,16.73,1681762.5,24844.05,8,0
Albania,Wheat,2010,39905,1485.0,1311.17,16.52,1947087.4500000002,24532.2,8,0
Albania,Wheat,2011,42301,1485.0,1302.63,16.45,1934405.55,24428.25,8,0
Albania,Wheat,2012,41096,1485.0,766.25,16.7,1137881.25,24799.5,8,0
Albania,Wheat,2013,41292,1485.0,982.32,17.41,1458745.2000000002,25853.85,8,0
Algeria,Maize,1990,16500,89.0,1828.92,17.48,162773.88,1555.72,1,1
Algeria,Maize,1991,19231,89.0,2461.8,16.26,219100.2,1447.14,1,1
Algeria,Maize,1992,22828,89.0,1215.47,16.27,108176.83,1448.03,1,1
Algeria,Maize,1993,12500,89.0,1021.89,17.0,90948.20999999999,1513.0,1,1
Algeria,Maize,1994,4512,89.0,1255.02,17.88,111696.78,1591.32,1,1
Algeria,Maize,1995,16115,89.0,2697.09,17.36,240041.01,1545.04,1,1
Algeria,Maize,1996,17154,89.0,479.77,16.76,42699.53,1491.64,1,1
Algeria,Maize,1997,21417,89.0,401.22,17.84,35708.58,1587.76,1,1
Algeria,Maize,1998,17222,89.0,322.84,17.14,28732.76,1525.46,1,1
Algeria,Maize,1999,22375,89.0,654.45,17.97,58246.05,1599.33,1,1
Algeria,Maize,2000,36186,89.0,603.67,17.9,53726.63,1593.1,1,1
Algeria,Maize,2001,27175,89.0,710.11,18.13,63199.79,1613.57,1,1
Algeria,Maize,2002,33480,89.0,816.55,17.85,72672.95,1588.65,1,1
Algeria,Maize,2004,31729,89.0,3747.86,17.38,333559.54000000004,1546.82,1,1
Algeria,Maize,2005,33864,89.0,3662.87,17.19,325995.43,1529.91,1,1
Algeria,Maize,2006,65668,89.0,4110.72,18.13,365854.08,1613.57,1,1
Algeria,Maize,2007,85625,89.0,5390.79,17.42,479780.31,1550.38,1,1
Algeria,Maize,2008,44714,89.0,11556.12,17.55,1028494.68,1561.95,1,1
Algeria,Maize,2009,30914,89.0,3867.99,17.78,344251.11,1582.42,1,1
Algeria,Maize,2010,25827,89.0,1295.88,17.59,115333.32,1565.51,1,1
Algeria,Maize,2011,23374,89.0,13861.76,17.79,1233696.6400000001,1583.31,1,1
Algeria,Maize,2012,25583,89.0,17379.76,17.91,1546798.64,1593.99,1,1
Algeria,Maize,2013,33649,89.0,17278.65,17.65,1537799.85,1570.85,1,1
Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,162773.88,1555.72,3,1
Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,219100.2,1447.14,3,1
Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,108176.83,1448.03,3,1
Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,90948.20999999999,1513.0,3,1
Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,111696.78,1591.32,3,1
Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,240041.01,1545.04,3,1
Algeria,Potatoes,1996,134629,89.0,479.77,16.76,42699.53,1491.64,3,1
Algeria,Potatoes,1997,141042,89.0,401.22,17.84,35708.58,1587.76,3,1
Algeria,Potatoes,1998,160256,89.0,322.84,17.14,28732.76,1525.46,3,1
Algeria,Potatoes,1999,153532,89.0,654.45,17.97,58246.05,1599.33,3,1
Algeria,Potatoes,2000,166143,89.0,603.67,17.9,53726.63,1593.1,3,1
Algeria,Potatoes,2001,147018,89.0,710.11,18.13,63199.79,1613.57,3,1
Algeria,Potatoes,2002,183774,89.0,816.55,17.85,72672.95,1588.65,3,1
Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,333559.54000000004,1546.82,3,1
Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,325995.43,1529.91,3,1
Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,365854.08,1613.57,3,1
Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,479780.31,1550.38,3,1
Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,1028494.68,1561.95,3,1
Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,344251.11,1582.42,3,1
Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,115333.32,1565.51,3,1
Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,1233696.6400000001,1583.31,3,1
Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,1546798.64,1593.99,3,1
Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,1537799.85,1570.85,3,1
Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,162773.88,1555.72,4,1
Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,219100.2,1447.14,4,1
Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,108176.83,1448.03,4,1
Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,90948.20999999999,1513.0,4,1
Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,111696.78,1591.32,4,1
Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,240041.01,1545.04,4,1
Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,42699.53,1491.64,4,1
Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,35708.58,1587.76,4,1
Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,28732.76,1525.46,4,1
Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,58246.05,1599.33,4,1
Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,53726.63,1593.1,4,1
Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,63199.79,1613.57,4,1
Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,72672.95,1588.65,4,1
Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,333559.54000000004,1546.82,4,1
Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,325995.43,1529.91,4,1
Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,365854.08,1613.57,4,1
Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,479780.31,1550.38,4,1
Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,1028494.68,1561.95,4,1
Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,344251.11,1582.42,4,1
Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,115333.32,1565.51,4,1
Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,1233696.6400000001,1583.31,4,1
Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,1546798.64,1593.99,4,1
Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,1537799.85,1570.85,4,1
Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,162773.88,1555.72,5,1
Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,219100.2,1447.14,5,1
Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,108176.83,1448.03,5,1
Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,90948.20999999999,1513.0,5,1
Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,240041.01,1545.04,5,1
Algeria,Sorghum,1996,14750,89.0,479.77,16.76,42699.53,1491.64,5,1
Algeria,Sorghum,1997,40000,89.0,401.22,17.84,35708.58,1587.76,5,1
Algeria,Sorghum,1998,24500,89.0,322.84,17.14,28732.76,1525.46,5,1
Algeria,Sorghum,1999,27000,89.0,654.45,17.97,58246.05,1599.33,5,1
Algeria,Sorghum,2000,69500,89.0,603.67,17.9,53726.63,1593.1,5,1
Algeria,Sorghum,2001,27750,89.0,710.11,18.13,63199.79,1613.57,5,1
Algeria,Sorghum,2002,33900,89.0,816.55,17.85,72672.95,1588.65,5,1
Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,333559.54000000004,1546.82,5,1
Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,325995.43,1529.91,5,1
Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,365854.08,1613.57,5,1
Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,479780.31,1550.38,5,1
Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,1028494.68,1561.95,5,1
Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,344251.11,1582.42,5,1
Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,115333.32,1565.51,5,1
Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,1233696.6400000001,1583.31,5,1
Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,1546798.64,1593.99,5,1
Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,1537799.85,1570.85,5,1
Algeria,Wheat,1990,6315,89.0,1828.92,17.48,162773.88,1555.72,8,1
Algeria,Wheat,1991,10809,89.0,2461.8,16.26,219100.2,1447.14,8,1
Algeria,Wheat,1992,9939,89.0,1215.47,16.27,108176.83,1448.03,8,1
Algeria,Wheat,1993,8097,89.0,1021.89,17.0,90948.20999999999,1513.0,8,1
Algeria,Wheat,1994,7999,89.0,1255.02,17.88,111696.78,1591.32,8,1
Algeria,Wheat,1995,8924,89.0,2697.09,17.36,240041.01,1545.04,8,1
Algeria,Wheat,1996,13090,89.0,479.77,16.76,42699.53,1491.64,8,1
Algeria,Wheat,1997,8016,89.0,401.22,17.84,35708.58,1587.76,8,1
Algeria,Wheat,1998,8847,89.0,322.84,17.14,28732.76,1525.46,8,1
Algeria,Wheat,1999,10711,89.0,654.45,17.97,58246.05,1599.33,8,1
Algeria,Wheat,2000,9194,89.0,603.67,17.9,53726.63,1593.1,8,1
Algeria,Wheat,2001,11104,89.0,710.11,18.13,63199.79,1613.57,8,1
Algeria,Wheat,2002,10739,89.0,816.55,17.85,72672.95,1588.65,8,1
Algeria,Wheat,2004,13582,89.0,3747.86,17.38,333559.54000000004,1546.82,8,1
Algeria,Wheat,2005,15057,89.0,3662.87,17.19,325995.43,1529.91,8,1
Algeria,Wheat,2006,15068,89.0,4110.72,18.13,365854.08,1613.57,8,1
Algeria,Wheat,2007,12742,89.0,5390.79,17.42,479780.31,1550.38,8,1
Algeria,Wheat,2008,11038,89.0,11556.12,17.55,1028494.68,1561.95,8,1
Algeria,Wheat,2009,15975,89.0,3867.99,17.78,344251.11,1582.42,8,1
Algeria,Wheat,2010,14838,89.0,1295.88,17.59,115333.32,1565.51,8,1
Algeria,Wheat,2011,17405,89.0,13861.76,17.79,1233696.6400000001,1583.31,8,1
Algeria,Wheat,2012,17639,89.0,17379.76,17.91,1546798.64,1593.99,8,1
Algeria,Wheat,2013,19100,89.0,17278.65,17.65,1537799.85,1570.85,8,1
Angola,Cassava,1990,41177,1010.0,64.0,24.12,64640.0,24361.2,0,2
Angola,Cassava,1991,40295,1010.0,79.0,24.02,79790.0,24260.2,0,2
Angola,Cassava,1992,42295,1010.0,23.0,23.96,23230.0,24199.600000000002,0,2
Angola,Cassava,1993,42295,1010.0,169.0,24.15,170690.0,24391.5,0,2
Angola,Cassava,1994,58596,1010.0,25.5,24.04,25755.0,24280.399999999998,0,2
Angola,Cassava,1995,51000,1010.0,336.0,24.56,339360.0,24805.6,0,2
Angola,Cassava,1996,48077,1010.0,40.0,24.11,40400.0,24351.1,0,2
Angola,Cassava,1997,44205,1010.0,40.0,24.06,40400.0,24300.6,0,2
Angola,Cassava,1998,55728,1010.0,40.0,24.96,40400.0,25209.600000000002,0,2
Angola,Cassava,1999,59821,1010.0,40.0,24.37,40400.0,24613.7,0,2
Angola,Cassava,2000,82992,1010.0,40.0,24.41,40400.0,24654.1,0,2
Angola,Cassava,2001,94072,1010.0,40.0,24.43,40400.0,24674.3,0,2
Angola,Cassava,2002,110071,1010.0,40.0,24.79,40400.0,25037.899999999998,0,2
Angola,Cassava,2004,125605,1010.0,40.0,24.22,40400.0,24462.199999999997,0,2
Angola,Cassava,2005,117628,1010.0,40.0,24.41,40400.0,24654.1,0,2
Angola,Cassava,2006,117201,1010.0,40.0,24.14,40400.0,24381.4,0,2
Angola,Cassava,2007,115387,1010.0,40.0,24.24,40400.0,24482.399999999998,0,2
Angola,Cassava,2008,148084,1010.0,40.0,24.27,40400.0,24512.7,0,2
Angola,Cassava,2009,151759,1010.0,40.0,24.33,40400.0,24573.3,0,2
Angola,Cassava,2010,155782,1010.0,40.0,24.44,40400.0,24684.4,0,2
Angola,Cassava,2011,133649,1010.0,40.0,24.15,40400.0,24391.5,0,2
Angola,Cassava,2012,100073,1010.0,40.0,24.24,40400.0,24482.399999999998,0,2
Angola,Cassava,2013,140517,1010.0,40.0,24.55,40400.0,24795.5,0,2
Angola,Maize,1990,2736,1010.0,64.0,24.12,64640.0,24361.2,1,2
Angola,Maize,1991,4013,1010.0,79.0,24.02,79790.0,24260.2,1,2
Angola,Maize,1992,3778,1010.0,23.0,23.96,23230.0,24199.600000000002,1,2
Angola,Maize,1993,2627,1010.0,169.0,24.15,170690.0,24391.5,1,2
Angola,Maize,1994,2463,1010.0,25.5,24.04,25755.0,24280.399999999998,1,2
Angola,Maize,1995,3517,1010.0,336.0,24.56,339360.0,24805.6,1,2
Angola,Maize,1996,6993,1010.0,40.0,24.11,40400.0,24351.1,1,2
Angola,Maize,1997,5959,1010.0,40.0,24.06,40400.0,24300.6,1,2
Angola,Maize,1998,7396,1010.0,40.0,24.96,40400.0,25209.600000000002,1,2
Angola,Maize,1999,6361,1010.0,40.0,24.37,40400.0,24613.7,1,2
Angola,Maize,2000,5745,1010.0,40.0,24.41,40400.0,24654.1,1,2
Angola,Maize,2001,5754,1010.0,40.0,24.43,40400.0,24674.3,1,2
Angola,Maize,2002,6706,1010.0,40.0,24.79,40400.0,25037.899999999998,1,2
Angola,Maize,2004,5404,1010.0,40.0,24.22,40400.0,24462.199999999997,1,2
Angola,Maize,2005,6736,1010.0,40.0,24.41,40400.0,24654.1,1,2
Angola,Maize,2006,4687,1010.0,40.0,24.14,40400.0,24381.4,1,2
Angola,Maize,2007,5091,1010.0,40.0,24.24,40400.0,24482.399999999998,1,2
Angola,Maize,2008,7946,1010.0,40.0,24.27,40400.0,24512.7,1,2
Angola,Maize,2009,6614,1010.0,40.0,24.33,40400.0,24573.3,1,2
Angola,Maize,2010,7200,1010.0,40.0,24.44,40400.0,24684.4,1,2
Angola,Maize,2011,7376,1010.0,40.0,24.15,40400.0,24391.5,1,2
Angola,Maize,2012,7770,1010.0,40.0,24.24,40400.0,24482.399999999998,1,2
Angola,Maize,2013,9467,1010.0,40.0,24.55,40400.0,24795.5,1,2
Angola,Potatoes,1990,40000,1010.0,64.0,24.12,64640.0,24361.2,3,2
Angola,Potatoes,1991,40000,1010.0,79.0,24.02,79790.0,24260.2,3,2
Angola,Potatoes,1992,40000,1010.0,23.0,23.96,23230.0,24199.600000000002,3,2
Angola,Potatoes,1993,70000,1010.0,169.0,24.15,170690.0,24391.5,3,2
Angola,Potatoes,1994,90000,1010.0,25.5,24.04,25755.0,24280.399999999998,3,2
Angola,Potatoes,1995,76738,1010.0,336.0,24.56,339360.0,24805.6,3,2
Angola,Potatoes,1996,70000,1010.0,40.0,24.11,40400.0,24351.1,3,2
Angola,Potatoes,1997,68571,1010.0,40.0,24.06,40400.0,24300.6,3,2
Angola,Potatoes,1998,62724,1010.0,40.0,24.96,40400.0,25209.600000000002,3,2
Angola,Potatoes,1999,54597,1010.0,40.0,24.37,40400.0,24613.7,3,2
Angola,Potatoes,2000,29885,1010.0,40.0,24.41,40400.0,24654.1,3,2
Angola,Potatoes,2001,42552,1010.0,40.0,24.43,40400.0,24674.3,3,2
Angola,Potatoes,2002,42754,1010.0,40.0,24.79,40400.0,25037.899999999998,3,2
Angola,Potatoes,2004,20150,1010.0,40.0,24.22,40400.0,24462.199999999997,3,2
Angola,Potatoes,2005,23646,1010.0,40.0,24.41,40400.0,24654.1,3,2
Angola,Potatoes,2006,52148,1010.0,40.0,24.14,40400.0,24381.4,3,2
Angola,Potatoes,2007,62138,1010.0,40.0,24.24,40400.0,24482.399999999998,3,2
Angola,Potatoes,2008,85085,1010.0,40.0,24.27,40400.0,24512.7,3,2
Angola,Potatoes,2009,86509,1010.0,40.0,24.33,40400.0,24573.3,3,2
Angola,Potatoes,2010,87425,1010.0,40.0,24.44,40400.0,24684.4,3,2
Angola,Potatoes,2011,81366,1010.0,40.0,24.15,40400.0,24391.5,3,2
Angola,Potatoes,2012,69381,1010.0,40.0,24.24,40400.0,24482.399999999998,3,2
Angola,Potatoes,2013,63303,1010.0,40.0,24.55,40400.0,24795.5,3,2
Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,64640.0,24361.2,4,2
Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02,79790.0,24260.2,4,2
Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96,23230.0,24199.600000000002,4,2
Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15,170690.0,24391.5,4,2
Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04,25755.0,24280.399999999998,4,2
Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56,339360.0,24805.6,4,2
Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11,40400.0,24351.1,4,2
Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06,40400.0,24300.6,4,2
Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96,40400.0,25209.600000000002,4,2
Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37,40400.0,24613.7,4,2
Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41,40400.0,24654.1,4,2
Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43,40400.0,24674.3,4,2
Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79,40400.0,25037.899999999998,4,2
Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22,40400.0,24462.199999999997,4,2
Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41,40400.0,24654.1,4,2
Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14,40400.0,24381.4,4,2
Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24,40400.0,24482.399999999998,4,2
Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27,40400.0,24512.7,4,2
Angola,"Rice, paddy",2009,6028,1010.0,40.0,24.33,40400.0,24573.3,4,2
Angola,"Rice, paddy",2010,7403,1010.0,40.0,24.44,40400.0,24684.4,4,2
Angola,"Rice, paddy",2011,8914,1010.0,40.0,24.15,40400.0,24391.5,4,2
Angola,"Rice, paddy",2012,7703,1010.0,40.0,24.24,40400.0,24482.399999999998,4,2
Angola,"Rice, paddy",2013,12744,1010.0,40.0,24.55,40400.0,24795.5,4,2
Angola,Sorghum,2000,3333,1010.0,40.0,24.41,40400.0,24654.1,5,2
Angola,Sorghum,2001,3571,1010.0,40.0,24.43,40400.0,24674.3,5,2
Angola,Sorghum,2002,3400,1010.0,40.0,24.79,40400.0,25037.899999999998,5,2
Angola,Sorghum,2004,3333,1010.0,40.0,24.22,40400.0,24462.199999999997,5,2
Angola,Sorghum,2005,3333,1010.0,40.0,24.41,40400.0,24654.1,5,2
Angola,Sorghum,2006,4091,1010.0,40.0,24.14,40400.0,24381.4,5,2
Angola,Sorghum,2007,4031,1010.0,40.0,24.24,40400.0,24482.399999999998,5,2
Angola,Sorghum,2008,929,1010.0,40.0,24.27,40400.0,24512.7,5,2
